Date,SEPHORAStoreNo,TotalQtySold,TotalGrossSales
{"":"2024-08-18,1150,15,619
{"":"2024-08-18,1152,4,78
{"":"2024-08-18,1154,-1,-47
{"":"2024-08-18,1156,20,1088
{"":"2024-08-18,1158,20,1071.5
{"":"2024-08-18,1160,15,552.5
{"":"2024-08-18,1162,13,881.5
{"":"2024-08-18,1164,4,249
{"":"2024-08-18,1172,23,1117
{"":"2024-08-18,1176,21,1201.5
{"":"2024-08-18,1178,12,504
{"":"2024-08-18,1180,14,588.5
{"":"2024-08-18,1182,17,722
{"":"2024-08-18,1184,11,677
{"":"2024-08-18,1186,14,781.5
{"":"2024-08-18,1188,10,668
{"":"2024-08-18,1190,9,524.5
{"":"2024-08-18,1192,7,339
{"":"2024-08-18,1194,4,168.5
{"":"2024-08-18,1198,4,78
{"":"2024-08-18,1200,17,782
{"":"2024-08-18,1202,0,0
{"":"2024-08-18,1204,0,0
{"":"2024-08-18,1206,33,1758
{"":"2024-08-18,1208,31,1592
{"":"2024-08-18,1210,5,292
{"":"2024-08-18,1212,12,662.5
{"":"2024-08-18,1214,44,1820
{"":"2024-08-18,1216,6,209
{"":"2024-08-18,1218,5,255
{"":"2024-08-18,1220,13,550.5
{"":"2024-08-18,1222,8,534
{"":"2024-08-18,1224,16,685.5
{"":"2024-08-18,1228,29,1553
{"":"2024-08-18,1230,37,1903.5
{"":"2024-08-18,1234,16,901
{"":"2024-08-18,1236,22,839.5
{"":"2024-08-18,1238,17,715
{"":"2024-08-18,1240,22,981.5
{"":"2024-08-18,1242,12,656.5
{"":"2024-08-18,1244,11,445
{"":"2024-08-18,1246,18,787
{"":"2024-08-18,1248,15,706.5
{"":"2024-08-18,1250,20,1159.5
{"":"2024-08-18,1252,88,5964
{"":"2024-08-18,1254,13,470
{"":"2024-08-18,1256,11,594
{"":"2024-08-18,1258,11,501.5
{"":"2024-08-18,1260,46,2557
{"":"2024-08-18,1262,7,317
{"":"2024-08-18,1266,11,694.5
{"":"2024-08-18,1268,20,1194.5
{"":"2024-08-18,1270,5,123
{"":"2024-08-18,1272,23,1188.5
{"":"2024-08-18,1274,8,458.5
{"":"2024-08-18,1276,15,702.5
{"":"2024-08-18,1278,12,380.5
{"":"2024-08-18,1280,8,354
{"":"2024-08-18,1282,16,723.5
{"":"2024-08-18,1284,2,342.5
{"":"2024-08-18,1286,11,812
{"":"2024-08-18,1288,12,650
{"":"2024-08-18,1290,16,716.5
{"":"2024-08-18,1292,9,323
{"":"2024-08-18,1294,9,601.5
{"":"2024-08-18,1298,11,518.5
{"":"2024-08-18,1300,30,1118.5
{"":"2024-08-18,1306,4,272.5
{"":"2024-08-18,1308,6,231.5
{"":"2024-08-18,1310,11,536.5
{"":"2024-08-18,1312,15,792
{"":"2024-08-18,1314,7,451.5
{"":"2024-08-18,1316,6,293.5
{"":"2024-08-18,1320,8,492
{"":"2024-08-18,1322,14,733.5
{"":"2024-08-18,1324,22,1057
{"":"2024-08-18,1326,10,444
{"":"2024-08-18,1328,23,1216
{"":"2024-08-18,1330,18,1165.5
{"":"2024-08-18,1332,8,308
{"":"2024-08-18,1334,15,790.5
{"":"2024-08-18,1338,10,687.5
{"":"2024-08-18,1340,11,422
{"":"2024-08-18,1342,6,254
{"":"2024-08-18,1344,6,253.5
{"":"2024-08-18,1348,13,586.5
{"":"2024-08-18,1350,6,293
{"":"2024-08-18,1354,7,315
{"":"2024-08-18,1356,5,215.5
{"":"2024-08-18,1358,17,836.5
{"":"2024-08-18,1360,3,242
{"":"2024-08-18,1364,15,591.5
{"":"2024-08-18,1366,7,435.5
{"":"2024-08-18,1368,9,448
{"":"2024-08-18,1372,9,283.5
{"":"2024-08-18,1374,5,347.5
{"":"2024-08-18,1376,9,482
{"":"2024-08-18,1378,6,307.5
{"":"2024-08-18,1380,4,130.5
{"":"2024-08-18,1382,10,399.5
{"":"2024-08-18,1384,20,1339.5
{"":"2024-08-18,1386,13,442.5
{"":"2024-08-18,1388,14,654
{"":"2024-08-18,1390,24,1168
{"":"2024-08-18,1392,12,697
{"":"2024-08-18,1394,4,221
{"":"2024-08-18,1396,15,905
{"":"2024-08-18,1400,7,236
{"":"2024-08-18,1402,7,367
{"":"2024-08-18,1404,32,1579.5
{"":"2024-08-18,1406,7,330.5
{"":"2024-08-18,1408,7,239
{"":"2024-08-18,1410,5,284
{"":"2024-08-18,1412,19,710
{"":"2024-08-18,1416,14,908
{"":"2024-08-18,1418,8,405.5
{"":"2024-08-18,1422,21,1269.5
{"":"2024-08-18,1428,2,88.5
{"":"2024-08-18,1702,43,1908
{"":"2024-08-18,1704,19,1015
{"":"2024-08-18,1706,17,858
{"":"2024-08-18,1708,15,581
{"":"2024-08-18,1710,21,942.5
{"":"2024-08-18,1712,9,577
{"":"2024-08-18,1714,10,678.5
{"":"2024-08-18,1716,2,162.5
{"":"2024-08-18,1718,17,903
{"":"2024-08-18,1720,10,522.5
{"":"2024-08-18,1724,13,446.5
{"":"2024-08-18,1730,9,541
{"":"2024-08-18,1738,15,869.5
{"":"2024-08-18,1740,6,246
{"":"2024-08-18,1742,10,406
{"":"2024-08-18,1744,26,1334.5
{"":"2024-08-18,1748,6,233
{"":"2024-08-18,1750,5,103
{"":"2024-08-18,1752,6,241
{"":"2024-08-18,1764,7,217.5
{"":"2024-08-18,1766,12,523
{"":"2024-08-18,1776,14,631.5
{"":"2024-08-18,1778,17,1016
{"":"2024-08-18,1782,15,761.5
{"":"2024-08-18,1790,17,714.5
{"":"2024-08-18,1794,5,247.5
{"":"2024-08-18,1800,11,704
{"":"2024-08-18,1814,7,445.5
{"":"2024-08-18,1822,8,426.5
{"":"2024-08-18,1824,9,436
{"":"2024-08-18,1830,35,1948.5
{"":"2024-08-18,1836,20,979
{"":"2024-08-18,1844,21,1135.5
{"":"2024-08-18,1848,14,865
{"":"2024-08-18,1850,17,739
{"":"2024-08-18,1856,5,171
{"":"2024-08-18,1870,16,705.5
{"":"2024-08-18,1876,13,754.5
{"":"2024-08-18,1878,16,793
{"":"2024-08-18,1882,4,222
{"":"2024-08-18,1884,12,506
{"":"2024-08-18,1890,9,467
{"":"2024-08-18,1892,19,1082
{"":"2024-08-18,1894,13,647.5
{"":"2024-08-18,1896,14,770
{"":"2024-08-18,1898,6,147
{"":"2024-08-18,1902,19,986.5
{"":"2024-08-18,1906,16,810
{"":"2024-08-18,1910,10,540
{"":"2024-08-18,1912,13,563.5
{"":"2024-08-18,1916,8,445.5
{"":"2024-08-18,1920,13,683
{"":"2024-08-18,1924,11,520.5
{"":"2024-08-18,1934,7,211
{"":"2024-08-18,1936,7,408
{"":"2024-08-18,1940,10,501.5
{"":"2024-08-18,1942,5,193
{"":"2024-08-18,1946,4,295
{"":"2024-08-18,1948,10,363
{"":"2024-08-18,1952,11,608.5
{"":"2024-08-18,1954,6,318.5
{"":"2024-08-18,1956,10,426
{"":"2024-08-18,1958,9,409
{"":"2024-08-18,1960,3,152.5
{"":"2024-08-18,1968,7,252
{"":"2024-08-18,1972,22,1000
{"":"2024-08-18,1980,6,334.5
{"":"2024-08-18,1988,16,526
{"":"2024-08-18,2002,21,1132.5
{"":"2024-08-18,2008,7,326
{"":"2024-08-18,2010,13,567.5
{"":"2024-08-18,2016,8,283
{"":"2024-08-18,2018,13,438
{"":"2024-08-18,2020,6,259.5
{"":"2024-08-18,2024,5,312
{"":"2024-08-18,2034,8,188.5
{"":"2024-08-18,2036,7,400
{"":"2024-08-18,2050,26,1407.5
{"":"2024-08-18,2058,4,193
{"":"2024-08-18,2060,8,640
{"":"2024-08-18,2064,14,698
{"":"2024-08-18,2066,2,34.5
{"":"2024-08-18,2068,17,975.5
{"":"2024-08-18,2072,6,265.5
{"":"2024-08-18,2076,17,810.5
{"":"2024-08-18,2078,9,500
{"":"2024-08-18,2080,6,345
{"":"2024-08-18,2082,10,510.5
{"":"2024-08-18,2086,9,424.5
{"":"2024-08-18,2088,11,669.5
{"":"2024-08-18,2090,13,616.5
{"":"2024-08-18,2092,16,716
{"":"2024-08-18,2104,11,491.5
{"":"2024-08-18,2108,2,153
{"":"2024-08-18,2112,3,87
{"":"2024-08-18,2118,6,265
{"":"2024-08-18,2128,12,538.5
{"":"2024-08-18,2148,9,450.5
{"":"2024-08-18,2158,2,39
{"":"2024-08-18,2162,0,0
{"":"2024-08-18,2170,7,338.5
{"":"2024-08-18,2176,6,327
{"":"2024-08-18,2178,1,69
{"":"2024-08-18,2180,22,799.5
{"":"2024-08-18,2188,9,393.5
{"":"2024-08-18,2202,7,257
{"":"2024-08-18,2206,3,166
{"":"2024-08-18,2208,0,0
